timestamp,symbol,side,entry_price,exit_price,pnl_usdt,pnl_pct,exit_reason
2026-08-12T16:53:20.612515,SMCI_USDT,LONG,36.43,36.44,-0.09043919822338468,-0.05256107603622584,BE_SL
2026-08-12T16:16:57.427700,BEAT_USDT,SHORT,0.904,0.942,-6.608034419177893,-4.285221238938046,SL
2026-08-12T16:15:29.756702,BEAT_USDT,SHORT,1.059,0.903,14.251797081146334,9.416148215297445,TP2
2026-08-12T15:54:04.184224,LSK_USDT,LONG,0.09389,0.09403,0.052252423902410264,0.06905101714773325,BE_SL
2026-08-12T15:39:42.184598,APR_USDT,LONG,0.3716,0.3711,-0.2907600743033357,-0.21449946178686463,BE_SL
2026-08-12T15:37:53.027571,BEAT_USDT,SHORT,1.18,1.228,-5.904167966162773,-4.149423728813552,SL
2026-08-12T15:36:03.094186,BEAT_USDT,SHORT,1.197,1.198,-0.23282604357588296,-0.1635756056808646,BE_SL
2026-08-12T15:30:29.256625,PROM_USDT,LONG,3.168,3.171,0.02483851431628338,0.014659090909076695,BE_SL
2026-08-12T14:34:39.037353,VELVET_USDT,LONG,0.5885,0.5891,0.037278716856607774,0.021913338997440395,BE_SL
2026-08-12T14:32:04.325993,BEAT_USDT,SHORT,1.25,1.3,-5.572375024627301,-4.0816000000000034,SL
2026-08-12T14:22:16.683054,APR_USDT,LONG,0.3738,0.3581,-5.891504366093116,-4.278426966292149,SL
2026-08-12T14:06:02.011690,APR_USDT,LONG,0.3449,0.3685,12.432176369515695,6.254490414612936,TRAIL_SL
2026-08-12T13:42:24.267660,BEAT_USDT,SHORT,1.266,1.259,3.246870365487856,1.7619055039494533,TRAIL_SL
2026-08-12T12:56:40.511314,APR_USDT,LONG,0.3599,0.3455,-8.175631155034749,-4.07951097527092,SL
2026-08-12T12:39:11.568979,APR_USDT,LONG,0.3551,0.359,2.0356857223316935,1.0178428611658468,TRAIL_SL
